회차,구분,문항,배점,가중치,질문 대상,디테일(역사적 사태),정답여부,실제 대상
78회,심화,22,2,3,임진왜란,권율이 행주산성에서 적군을 크게 물리쳤다.,O,임진왜란
78회,심화,22,2,3,임진왜란,이종무가 적의 근거지인 대마도를 정벌하였다.,X,조선 세종
78회,심화,24,1,1.5,조선 정조,연잉군을 왕세제로 책봉하였다.,X,조선 경종
78회,심화,24,1,1.5,조선 정조,청과 국경을 정하는 백두산정계비를 세웠다.,X,조선 숙종
78회,심화,24,1,1.5,조선 정조,삼수병으로 구성된 훈련도감을 창설하였다.,X,조선 선조
78회,심화,24,1,1.5,조선 정조,탕평 교서를 반포하고 탕평비를 건립하였다.,X,조선 영조
78회,심화,24,1,1.5,조선 정조,문신을 재교육하기 위한 초계문신제를 시행하였다.,O,조선 정조
78회,심화,25,2,3,조선 후기 경제,활구라고 불리는 은병이 주조되었다.,O(부적절),고려의 경제
78회,심화,25,2,3,조선 후기 경제,관청에 물품을 조달하는 공인이 활동하였다.,X,조선 후기 경제
78회,심화,25,2,3,조선 후기 경제,송상 만상이 대청 무역으로 부를 축적하였다.,X,조선 후기 경제
78회,심화,25,2,3,조선 후기 경제,보부상이 장시를 돌아다니며 상품을 판매하였다.,X,조선 후기 경제
78회,심화,25,2,3,조선 후기 경제,설점수세제의 시행으로 민간의 광산 개발이 허용되었다.,X,조선 후기 경제
78회,심화,27,2,3,조선 후기 사회,최충이 9재 학당을 설립하였다.,X,최충
78회,심화,27,2,3,조선 후기 사회,서얼이 통청 운동을 전개하였다.,O,조선 후기 사회
78회,심화,27,2,3,조선 후기 사회,변발과 호복이 지배층을 중심으로 유행하였다.,X,고려 후기
78회,심화,27,2,3,조선 후기 사회,망이 망소이의 난 등 하층민의 봉기가 발생하였다.,X,망이·망소이의 난
78회,심화,27,2,3,조선 후기 사회,질병에 대한 처방 등을 소개한 향약구급방이 편찬되었다.,X,고려 의학
78회,심화,28,2,3,강화도 조약,천주교 포교 허용의 근거가 되었다.,X,조프 수호 통상 조약
78회,심화,28,2,3,강화도 조약,일본 측의 해안 측량권을 인정하였다.,O,강화도 조약
78회,심화,28,2,3,강화도 조약,최혜국 대우를 규정한 조항을 담고 있다.,X,조미수호통상조약
78회,심화,28,2,3,강화도 조약,일본 공사관의 경비병 주둔을 명시하였다.,X,제물포 조약
78회,심화,28,2,3,강화도 조약,외국 상인의 내지 통상권을 최초로 규정하였다.,X,조청상민수륙무역장정
78회,심화,29,2,3,갑신정변,한성 조약이 체결되는 계기가 되었다.,O,갑신정변
78회,심화,29,2,3,갑신정변,외규장각 도서가 약탈되는 결과를 가져왔다.,X,병인양요
78회,심화,29,2,3,갑신정변,제너럴 셔먼호 사건이 발단이 되어 일어났다.,X,신미양요
78회,심화,29,2,3,갑신정변,전개 과정에서 흥선 대원군이 청에 납치되었다.,X,임오군란
78회,심화,29,2,3,갑신정변,홍범 14조를 개혁의 기본 방향으로 제시하였다.,X,갑오개혁
78회,심화,30,3,4.5,근대 교육 기관,신민회가 민족 교육을 실시하였다.,X,신민회
78회,심화,30,3,4.5,근대 교육 기관,관민이 합심하여 원산학사를 세웠다.,O,근대 교육 기관
78회,심화,30,3,4.5,근대 교육 기관,교육 입국 조서 반포를 계기로 설립되었다.,X,갑오개혁
78회,심화,30,3,4.5,근대 교육 기관,최초의 여성 교육 기관으로 건립되었다.,X,이화학당
78회,심화,30,3,4.5,근대 교육 기관,통역관 양성을 위해 설치되었다.,X,동문학
78회,심화,31,2,3,화폐 정리 사업,삼국 간섭이 발생한 원인을 분석한다.,X,삼국 간섭
78회,심화,31,2,3,화폐 정리 사업,삼정이정청이 설치된 목적을 살펴본다.,X,임술농민봉기
78회,심화,31,2,3,화폐 정리 사업,황국 중앙 총상회가 설립된 배경을 파악한다.,X,독립협회
78회,심화,31,2,3,화폐 정리 사업,재정 고문 메가타가 주도한 정책을 찾아본다.,O,화폐 정리 사업
78회,심화,31,2,3,화폐 정리 사업,조미 수호 통상 조약이 체결되는 과정을 조사한다.,X,조미수호통상조약
78회,심화,32,2,3,동학 농민 운동,농민군이 황토현에서 관군에 승리하였다.,X,동학 농민 운동
78회,심화,32,2,3,동학 농민 운동,개혁을 추진하기 위해 교정청이 설치되었다.,X,갑오개혁
78회,심화,32,2,3,동학 농민 운동,남접과 북접의 농민군이 논산에 집결하였다.,O,동학 농민 운동
78회,심화,32,2,3,동학 농민 운동,교조 신원을 요구하는 삼례 집회가 개최되었다.,X,동학 농민 운동
78회,심화,32,2,3,동학 농민 운동,조병갑의 폭정에 항거하여 군민들이 관아를 습격하였다.,X,동학 농민 운동
78회,심화,33,2,3,정미의병 배경,미쓰야 협정이 체결되었다.,X,미쓰야 협정
78회,심화,33,2,3,정미의병 배경,대한 제국의 군대가 해산되었다.,O,정미의병 배경
78회,심화,33,2,3,정미의병 배경,영국이 거문도를 불법으로 점령하였다.,X,거문도 사건
78회,심화,33,2,3,정미의병 배경,데라우치가 초대 총독으로 부임하였다.,X,경술국치
78회,심화,33,2,3,정미의병 배경,기유각서가 체결되어 사법권을 박탈당하였다.,X,기유각서
78회,심화,34,1,1.5,대한매일신보,브나로드 운동을 주도하였다.,X,동아일보
78회,심화,34,1,1.5,대한매일신보,천도교의 기관지로 발행되었다.,X,만세보
78회,심화,34,1,1.5,대한매일신보,상업 광고를 처음으로 게재하였다.,X,한성주보
78회,심화,34,1,1.5,대한매일신보,국채 보상 운동의 확산에 기여하였다.,O,대한매일신보
78회,심화,34,1,1.5,대한매일신보,순한글로 발행된 최초의 신문이었다.,X,독립신문
78회,심화,35,3,4.5,안창호 활동,대한 광복회를 조직하여 친일파를 처단하였다.,X,대한광복회
78회,심화,35,3,4.5,안창호 활동,일본의 침략 과정을 담은 한국통사를 저술하였다.,X,박은식
78회,심화,35,3,4.5,안창호 활동,대한민국 임시 정부에서 내무총장으로 활동하였다.,O,안창호 활동
78회,심화,35,3,4.5,안창호 활동,의열단의 활동 지침인 조선 혁명 선언을 작성하였다.,X,신채호
78회,심화,35,3,4.5,안창호 활동,헤이그에서 열린 만국 평화 회의에 특사로 파견되었다.,X,헤이그 특사
78회,심화,36,1,1.5,1910년대 통치,헌병 경찰제가 실시되었다.,O,1910년대 통치
78회,심화,36,1,1.5,1910년대 통치,치안 유지법이 제정되었다.,X,치안유지법
78회,심화,36,1,1.5,1910년대 통치,친위대와 진위대가 설치되었다.,X,대한제국
78회,심화,36,1,1.5,1910년대 통치,조선 여성 동우회가 창립되었다.,X,1920년대 사회운동
78회,심화,36,1,1.5,1910년대 통치,조선 사상범 예방 구금령이 시행되었다.,X,민족말살통치기
78회,심화,37,3,4.5,농민 운동,지계아문이 설치되어 지계가 발급되었다.,X,광무개혁
78회,심화,37,3,4.5,농민 운동,회사 설립을 허가제로 하는 회사령이 제정되었다.,X,회사령
78회,심화,37,3,4.5,농민 운동,전국 단위 조직인 조선 농민 총연맹이 결성되었다.,O,농민 운동
78회,심화,37,3,4.5,농민 운동,일본의 토지 침탈에 맞서 농광 회사가 설립되었다.,X,농광 회사
78회,심화,37,3,4.5,농민 운동,경복궁에서 최초로 조선 물산 공진회가 개최되었다.,X,조선 물산 공진회
78회,심화,38,2,3,6·10 만세 운동,김광제 등의 발의로 본격화되었다.,X,국채 보상 운동
78회,심화,38,2,3,6·10 만세 운동,보국안민 제폭구민을 기치로 내걸었다.,X,동학 농민 운동
78회,심화,38,2,3,6·10 만세 운동,전개 과정에서 일제가 제암리 학살 등을 자행하였다.,X,3·1 운동
78회,심화,38,2,3,6·10 만세 운동,민족 협동 전선 단체인 신간회 결성에 영향을 끼쳤다.,O,6·10 만세 운동
78회,심화,38,2,3,6·10 만세 운동,한국인 학생과 일본인 학생 간의 충돌에서 비롯되었다.,X,광주학생항일운동
78회,심화,39,2,3,형평 운동,보안회의 활동 내용을 분석한다.,X,보안회
78회,심화,39,2,3,형평 운동,조선 형평사의 창립 목적을 파악한다.,O,형평 운동
78회,심화,39,2,3,형평 운동,군국기무처가 설치된 계기를 찾아본다.,X,갑오개혁
78회,심화,39,2,3,형평 운동,전주 화약이 체결되는 과정을 알아본다.,X,동학 농민 운동
78회,심화,39,2,3,형평 운동,대한 자강회가 해산된 배경을 조사한다.,X,대한자강회
78회,심화,40,2,3,민족말살통치기,원산 총파업에 참여하는 노동자,X,원산 총파업
78회,심화,40,2,3,민족말살통치기,105인 사건으로 검거되는 애국지사,X,105인 사건
78회,심화,40,2,3,민족말살통치기,근우회 창립 총회에서 취재하는 기자,X,근우회
78회,심화,40,2,3,민족말살통치기,황국 신민 서사 암송을 강요받는 학생,O,민족말살통치기
78회,심화,40,2,3,민족말살통치기,태화관에서 독립 선언식을 거행하는 민족 대표,X,3·1 운동
78회,심화,41,2,3,조선어 연구회,학술지인 진단 학보를 발행하였다.,X,진단학회
78회,심화,41,2,3,조선어 연구회,가갸날을 제정하고 기념식을 진행하였다.,O,조선어 연구회
78회,심화,41,2,3,조선어 연구회,태극 서관을 설립하여 서적을 보급하였다.,X,신민회
78회,심화,41,2,3,조선어 연구회,주시경 지석영 등이 중심이 되어 활동하였다.,X,국문연구소
78회,심화,41,2,3,조선어 연구회,영은문이 있던 자리 부근에 독립문을 건립하였다.,X,독립협회
78회,심화,42,2,3,조선의용대,대원 일부가 한국광복군에 합류하였다.,O,조선의용대
78회,심화,42,2,3,조선의용대,청산리 사건에서 일본군에 맞서 승리를 거두었다.,X,청산리 전투
78회,심화,42,2,3,조선의용대,동북 항일 연군으로 개편되어 유격전을 펼쳤다.,X,동북 항일 연군
78회,심화,42,2,3,조선의용대,대전자령 전투에서 한중 연합 작전을 전개하였다.,X,한국독립군
78회,심화,42,2,3,조선의용대,조선 혁명당의 군사 조직으로 남만주에서 활약하였다.,X,조선혁명군
78회,심화,43,2,3,근대 사회상,텔레비전 방송이 시작되었다.,O(부적절),현대 사회상
78회,심화,43,2,3,근대 사회상,화학조미료를 활용한 요리법이 확산되었다.,X,현대 사회상
78회,심화,43,2,3,근대 사회상,새로운 주택 양식인 문화 주택이 등장하였다.,X,근대 사회상
78회,심화,43,2,3,근대 사회상,영화 임자 없는 나룻배가 상영되었다.,X,근대 사회상
78회,심화,43,2,3,근대 사회상,모던 걸 모던 보이가 늘어났다.,X,근대 사회상
78회,심화,44,2,3,5·10 총선거,6·3 시위 이후에 실시되었다.,X,6·3 시위
78회,심화,44,2,3,5·10 총선거,발췌 개헌에 따라 이루어졌다.,X,발췌 개헌
78회,심화,44,2,3,5·10 총선거,신한 민주당이 제1 야당이 되었다.,X,1985년 총선
78회,심화,44,2,3,5·10 총선거,통일 주체 국민 회의 대의원이 투표하였다.,X,유신헌법
78회,심화,44,2,3,5·10 총선거,김구 김규식 등이 단독 정부 수립에 반대하며 불참하였다.,O,5·10 총선거
78회,심화,45,1,1.5,6·25 전쟁,애치슨 라인이 발표되었다.,X,애치슨 라인
78회,심화,45,1,1.5,6·25 전쟁,한미 상호 방위 조약이 체결되었다.,X,한미 상호 방위 조약
78회,심화,45,1,1.5,6·25 전쟁,여수 순천 10·10 사건이 발생하였다.,X,여수 순천 사건
78회,심화,45,1,1.5,6·25 전쟁,모스크바 3국 외상 회의가 개최되었다.,X,모스크바 3국 외상회의
78회,심화,45,1,1.5,6·25 전쟁,흥남에서 대규모 철수 작전이 전개되었다.,O,6·25 전쟁
78회,심화,46,2,3,4·19 혁명,긴급 조치 철폐를 요구하였다.,X,유신 체제
78회,심화,46,2,3,4·19 혁명,장면 내각이 출범하는 계기가 되었다.,O,4·19 혁명
78회,심화,46,2,3,4·19 혁명,신군부의 계엄 확대에 반발하여 일어났다.,X,5·18 광주민주화운동
78회,심화,46,2,3,4·19 혁명,야당 총재의 국회의원직 제명에 반대하였다.,X,부마민주항쟁
78회,심화,46,2,3,4·19 혁명,5년 단임의 대통령 직선제 개헌을 이끌어 냈다.,X,6월 민주항쟁
78회,심화,47,1,1.5,박정희 정부 경제,포항 제철소 1기 설비가 착공되었다.,X,박정희 정부 경제
78회,심화,47,1,1.5,박정희 정부 경제,국민 기초 생활 보장법이 제정되었다.,O(부적절),김대중 정부 경제
78회,심화,47,1,1.5,박정희 정부 경제,마산이 수출 자유 지역으로 지정되었다.,X,박정희 정부 경제
78회,심화,47,1,1.5,박정희 정부 경제,베트남 전쟁 파병에 따른 특수를 누렸다.,X,박정희 정부 경제
78회,심화,47,1,1.5,박정희 정부 경제,제2차 경제 개발 5개년 계획이 추진되었다.,X,박정희 정부 경제
78회,심화,48,3,4.5,제5공화국 헌법,사사오입의 논리로 통과되었다.,X,사사오입 개헌
78회,심화,48,3,4.5,제5공화국 헌법,대통령의 3선 연임을 허용하였다.,X,3선 개헌
78회,심화,48,3,4.5,제5공화국 헌법,3·1 민주 구국 선언에 영향을 주었다.,X,유신 체제
78회,심화,48,3,4.5,제5공화국 헌법,민의원과 참의원의 양원제를 명시하였다.,X,제2공화국 헌법
78회,심화,48,3,4.5,제5공화국 헌법,대통령 선거인단에 의한 간선제를 규정하였다.,O,제5공화국 헌법
78회,심화,49,2,3,문재인 정부 통일,7·4 남북 공동 성명을 발표하였다.,X,박정희 정부 통일
78회,심화,49,2,3,문재인 정부 통일,평양에서 남북 정상 회담을 개최하였다.,O,문재인 정부 통일
78회,심화,49,2,3,문재인 정부 통일,남북한이 UN에 동시 가입하였다.,X,노태우 정부 통일
78회,심화,49,2,3,문재인 정부 통일,남북 이산가족 고향 방문을 최초 성사시켰다.,X,전두환 정부 통일
78회,심화,49,2,3,문재인 정부 통일,평창 동계 올림픽에서 남북 단일팀을 구성하였다.,X,문재인 정부 통일
78회,심화,50,2,3,부산 지역 역사,신립이 배수의 진을 치고 왜군과 싸웠다.,X,탄금대 전투
78회,심화,50,2,3,부산 지역 역사,학생들이 2·28 민주 운동을 주도하였다.,X,2·28 민주 운동
78회,심화,50,2,3,부산 지역 역사,김사미가 가혹한 수탈에 맞서 봉기하였다.,X,김사미·효심의 난
78회,심화,50,2,3,부산 지역 역사,YH 무역 노동자들이 농성을 벌였다.,X,YH 무역 사건
78회,심화,50,2,3,부산 지역 역사,박재혁이 경찰서에서 폭탄을 터뜨리는 의거를 일으켰다.,O,부산 지역 역사
77회,기본,1,1,1.5,신석기 시대,철제 무기를 사용하였다.,X,철기 시대
77회,기본,1,1,1.5,신석기 시대,우경이 널리 보급되었다.,X,신라 지증왕
77회,기본,1,1,1.5,신석기 시대,가락바퀴를 이용하여 실을 뽑았다.,O,신석기 시대
77회,기본,1,1,1.5,신석기 시대,주먹도끼 등의 뗀석기를 처음 제작하였다.,X,구석기 시대
77회,기본,3,2,3,광개토대왕,태학을 설립하였다.,X,고구려 소수림왕
77회,기본,3,2,3,광개토대왕,평양으로 도읍을 옮겼다.,X,고구려 장수왕
77회,기본,3,2,3,광개토대왕,불교를 처음으로 공인하였다.,X,고구려 소수림왕
77회,기본,3,2,3,광개토대왕,영락이라는 연호를 사용하였다.,O,광개토대왕
77회,기본,4,2,3,백제 성왕,22담로를 설치하다,X,백제 무령왕
77회,기본,4,2,3,백제 성왕,독서삼품과를 시행하다,X,통일신라 원성왕
77회,기본,4,2,3,백제 성왕,국호를 남부여로 바꾸다,O,백제 성왕
77회,기본,4,2,3,백제 성왕,고국원왕을 전사시키다,X,백제 근초고왕
77회,기본,5,2,3,신라,금동 연가 7년명 여래 입상,X,고구려
77회,기본,5,2,3,신라,무령왕 금제 관식,X,백제 무령왕
77회,기본,5,2,3,신라,천마총 금관,O,신라
77회,기본,5,2,3,신라,금동 대향로,X,백제
77회,기본,6,1,1.5,발해,기인 제도를 실시하였다.,X,고려 태조
77회,기본,6,1,1.5,발해,전성기에 해동성국이라 불렸다.,O,발해
77회,기본,6,1,1.5,발해,중앙군으로 9서당을 설치하였다.,X,신라 신문왕
77회,기본,6,1,1.5,발해,제가 회의에서 국가 중대사를 결정하였다.,X,고구려
77회,기본,7,3,4.5,삼국 통일 과정,대가야가 신라에 정복되었다.,X,신라 진흥왕
77회,기본,7,3,4.5,삼국 통일 과정,당이 안동도호부를 설치하였다.,X,당의 안동도호부 설치
77회,기본,7,3,4.5,삼국 통일 과정,신라가 기벌포에서 당군을 격파하였다.,X,매소성·기벌포 전투
77회,기본,7,3,4.5,삼국 통일 과정,고구려가 안시성 전투에서 당군을 물리쳤다.,O,삼국 통일 과정
77회,기본,8,2,3,통일신라,울산항에 아라비아 상인이 왕래했어요.,O,통일신라
77회,기본,8,2,3,통일신라,광산을 전문적으로 경영하는 덕대가 출현했어요.,X,조선 후기 경제
77회,기본,8,2,3,통일신라,과전법이 실시됐어요.,X,과전법
77회,기본,8,2,3,통일신라,솔빈부의 말을 특산물로 수출했어요.,X,발해
77회,기본,9,2,3,의상,의상,O,의상
77회,기본,9,2,3,의상,원효,X,원효
77회,기본,9,2,3,의상,원광,X,원광
77회,기본,9,2,3,의상,유정,X,유정
77회,기본,10,3,4.5,궁예,훈요 10조를 남김,X,고려 태조
77회,기본,10,3,4.5,궁예,국호를 태봉으로 바꿈,O,궁예
77회,기본,10,3,4.5,궁예,공산 전투에서 승리함,X,후백제 견훤
77회,기본,10,3,4.5,궁예,경주의 사심관으로 임명됨,X,신라 경순왕
77회,기본,11,1,1.5,고려 광종,녹읍을 폐지하였다.,X,신라 신문왕
77회,기본,11,1,1.5,고려 광종,과거제를 시행하였다.,O,고려 광종
77회,기본,11,1,1.5,고려 광종,교정도감을 설치하였다.,X,최충헌
77회,기본,11,1,1.5,고려 광종,쌍성총관부를 공격하였다.,X,고려 공민왕
77회,기본,12,2,3,거란 1차 침입,김흠돌이 반란을 도모하였다.,X,신라 신문왕
77회,기본,12,2,3,거란 1차 침입,장문휴가 등주를 공격하였다.,X,발해 무왕
77회,기본,12,2,3,거란 1차 침입,계백이 황산벌에서 항전하였다.,X,황산벌 전투
77회,기본,12,2,3,거란 1차 침입,강감찬이 귀주에서 대승을 거두었다.,O,거란 1차 침입
77회,기본,13,1,1.5,상평창,상평창,O,상평창
77회,기본,13,1,1.5,상평창,어사대,X,어사대
77회,기본,13,1,1.5,상평창,의금부,X,조선 의금부
77회,기본,13,1,1.5,상평창,식목도감,X,식목도감
77회,기본,15,2,3,고려 화폐,건원중보,O,고려 화폐
